iterations,fitness,time
0,3237.32079347,0.016578391
10,3526.53082019,0.031023743
20,3481.71863283,0.046297685
30,3619.25665104,0.061385194
40,3588.45899253,0.073774811
50,3581.57829339,0.085714961
60,3595.69183225,0.097469367
70,3595.73263463,0.109109195
80,3587.5440933,0.120787313
90,3595.69183225,0.133178952
100,3549.68803815,0.147984432
110,3595.69183225,0.165460225
120,3581.87518954,0.181355311
130,3593.44211367,0.199688484
140,3576.55804899,0.218774353
150,3557.81340272,0.238301542
160,3581.87518954,0.255591177
170,3563.94408113,0.27457818
180,3596.81021296,0.289831162
190,3540.70034997,0.304956696
200,3630.90159935,0.319457094
210,3603.10602831,0.331823765
220,3546.3663363,0.343467168
230,3624.14282107,0.356484106
240,3527.30985753,0.370002897
250,3570.45124595,0.381338728
260,3576.21921224,0.393004903
270,3595.69183225,0.404250917
280,3566.1106919,0.416136766
290,3631.90494218,0.427583404
300,3668.60505359,0.439217184
310,3605.44806299,0.450648219
320,3595.69183225,0.462404852
330,3533.23870905,0.474999664
340,3686.33571706,0.486915516
350,3558.30231609,0.499650676
360,3658.26271364,0.515260333
370,3567.57998685,0.527042912
380,3605.44806299,0.539337027
390,3539.12710887,0.552084108
400,3592.06606838,0.564264637
410,3548.68900219,0.577059843
420,3562.84273293,0.590750238
430,3587.01943233,0.60304732
440,3627.53020284,0.61491486
450,3619.30550807,0.627276308
460,3647.82329295,0.639094122
470,3631.90494218,0.650620677
480,3628.58191125,0.662288477
490,3647.71569451,0.674741456
500,3689.98332604,0.685970858
510,3663.21118533,0.698370398
520,3677.96355872,0.711270551
530,3692.17792704,0.723168805
540,3689.98332604,0.736093451
550,3631.90494218,0.74868787
560,3640.65783009,0.760762529
570,3658.26271364,0.772680736
580,3628.58191125,0.785241292
590,3640.65783009,0.796982549
600,3689.98332604,0.808226968
610,3689.98332604,0.819827476
620,3647.71569451,0.83167456
630,3619.30550807,0.843502414
640,3631.91398842,0.855049982
650,3646.56012076,0.866344267
660,3647.71569451,0.879366462
670,3647.71569451,0.890635151
680,3672.37844249,0.90246258
690,3618.62836532,0.91438593
700,3689.98332604,0.926339346
710,3640.65783009,0.938440115
720,3634.10377529,0.950249032
730,3658.26271364,0.962212668
740,3689.9742798,0.973466546
750,3650.15158926,0.985235593
760,3689.98332604,0.996890483
770,3636.32038816,1.009324459
780,3689.98332604,1.021557155
790,3640.65783009,1.033615707
800,3628.58191125,1.04723109
810,3631.90494218,1.058455658
820,3624.28512741,1.070319806
830,3670.13593042,1.082932014
840,3624.28512741,1.094372406
850,3643.47186631,1.105927766
860,3640.65783009,1.117659302
870,3624.88511878,1.129376952
880,3631.90494218,1.1426047
890,3672.69857975,1.156910653
900,3629.19449655,1.168704431
910,3631.90494218,1.181682799
920,3624.28512741,1.193180785
930,3628.59095749,1.204989469
940,3617.01498712,1.216578479
950,3659.64948432,1.228176031
960,3716.44020523,1.239891536
970,3689.98332604,1.251969293
980,3620.37808392,1.263687475
990,3652.61625888,1.276311661
1000,3689.98332604,1.28815222
1010,3622.00966788,1.299841876
1020,3647.71569451,1.312541748
1030,3689.98332604,1.323976758
1040,3640.65783009,1.335876311
1050,3628.28059782,1.347618995
1060,3689.98332604,1.359184679
1070,3699.2924921,1.371496223
1080,3696.56712903,1.383322526
1090,3692.17792704,1.394986814
1100,3689.98332604,1.406648133
1110,3696.56712903,1.417751494
1120,3689.98332604,1.429085438
1130,3696.56712903,1.442302798
1140,3689.98332604,1.456795771
1150,3713.11717431,1.472141564
1160,3707.56107087,1.48514232
1170,3716.44020523,1.498888526
1180,3694.37252803,1.511071008
1190,3689.98332604,1.523396096
1200,3718.63480623,1.536196368
1210,3701.55025017,1.547963719
1220,3716.44020523,1.559567563
1230,3689.98332604,1.571925413
1240,3689.98332604,1.584290218
1250,3701.55025017,1.598118092
1260,3706.42367582,1.610976881
1270,3694.37252803,1.624456452
1280,3696.56712903,1.636700996
1290,3689.98332604,1.64863755
1300,3692.17792704,1.660405775
1310,3713.11717431,1.671717427
1320,3689.98332604,1.683246287
1330,3716.44020523,1.695130137
1340,3716.44020523,1.70666661
1350,3689.98332604,1.717904783
1360,3689.98332604,1.729834611
1370,3689.98332604,1.742658755
1380,3716.44020523,1.754111036
1390,3694.37252803,1.765868461
1400,3716.44020523,1.777233429
1410,3689.98332604,1.789861977
1420,3713.11717431,1.802385393
1430,3716.44020523,1.816109688
1440,3694.42223892,1.827815271
1450,3696.56712903,1.839391643
1460,3689.99237228,1.851122093
1470,3694.37252803,1.862647424
1480,3701.55025017,1.874147653
1490,3701.55025017,1.885710968
1500,3701.55025017,1.897373402
1510,3696.56712903,1.910205541
1520,3701.55025017,1.922114424
1530,3689.98332604,1.933332754
1540,3689.98332604,1.944437567
1550,3696.56712903,1.9559376
1560,3713.11717431,1.967677533
1570,3689.99237228,1.978550854
1580,3696.56712903,1.989843826
1590,3716.44020523,2.002303544
1600,3713.11717431,2.015249208
1610,3694.37252803,2.026246763
1620,3716.44020523,2.037416383
1630,3707.80235521,2.048642312
1640,3701.55025017,2.059853494
1650,3696.56712903,2.074420373
1660,3716.44020523,2.0858589
1670,3719.7009773,2.097267702
1680,3696.56712903,2.110230391
1690,3701.55025017,2.121856891
1700,3716.44020523,2.13330016
1710,3689.98332604,2.145426065
1720,3716.44020523,2.156678207
1730,3689.98332604,2.168001795
1740,3701.55025017,2.17902203
1750,3716.44020523,2.190479275
1760,3716.44020523,2.201689839
1770,3696.56712903,2.212914868
1780,3716.44020523,2.22524901
1790,3701.55025017,2.237220116
1800,3701.55025017,2.248232086
1810,3700.79046519,2.259782196
1820,3713.11717431,2.27142503
1830,3689.98332604,2.283584075
1840,3707.57011711,2.295215993
1850,3689.98332604,2.306832067
1860,3713.11717431,2.31828343
1870,3694.37252803,2.329517473
1880,3706.13661437,2.341001912
1890,3689.98332604,2.353140116
1900,3701.55025017,2.36505014
1910,3713.11717431,2.379103715
1920,3701.55025017,2.390826083
1930,3701.55025017,2.402162249
1940,3707.18224687,2.413862451
1950,3716.44020523,2.425460976
1960,3716.44020523,2.436893913
1970,3701.55025017,2.448602776
1980,3701.55025017,2.460366961
1990,3716.44020523,2.471589332
