iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.0867789826585,0.0998207761867,0.762222222222,0.685,0.007940309
10,0.0852742715053,0.0952389316436,0.76,0.685,0.048145516
20,0.0838256455443,0.0936657573203,0.758888888889,0.685,0.082174212
30,0.0838026897659,0.0938423177009,0.758888888889,0.685,0.103504167
40,0.0837244580595,0.0936546116029,0.758888888889,0.685,0.127536128
50,0.0836283167845,0.0936963154093,0.758888888889,0.685,0.149538146
60,0.0836165126501,0.0937151325725,0.758888888889,0.685,0.167859518
70,0.0836098244771,0.0936965904715,0.758333333333,0.685,0.187820729
80,0.0848275208238,0.0936574457828,0.758333333333,0.685,0.203712894
90,0.0825631136016,0.0934225204265,0.757222222222,0.685,0.220740522
100,0.0800304437995,0.0930144981625,0.757222222222,0.685,0.240524203
110,0.0819562320669,0.0920667619082,0.757222222222,0.685,0.258866469
120,0.0796072046455,0.0913925067587,0.757222222222,0.685,0.276349991
130,0.0821930374072,0.0970846567288,0.757222222222,0.685,0.295000816
140,0.0792140560789,0.0907954128159,0.757222222222,0.685,0.314425788
150,0.0791703682204,0.0908056954192,0.757222222222,0.685,0.333568285
160,0.079013096134,0.0908057429735,0.757222222222,0.685,0.349759237
170,0.078645449636,0.0896633069712,0.757222222222,0.685,0.368318107
180,0.0803398741576,0.0915611485955,0.757222222222,0.685,0.384650224
190,0.0754038385175,0.0822032883477,0.798888888889,0.755,0.400931846
200,0.0753983209958,0.0821553353174,0.799444444444,0.755,0.416890902
210,0.0747220644709,0.0796969859172,0.806666666667,0.825,0.433590983
220,0.0746911443542,0.0798896435751,0.807222222222,0.825,0.450958789
230,0.0747967074824,0.0817968850624,0.812777777778,0.805,0.467271462
240,0.0713153392251,0.0816258889259,0.793888888889,0.705,0.483515545
250,0.0712825109866,0.0814375990014,0.794444444444,0.705,0.504343234
260,0.0708239025606,0.0818809908285,0.795,0.7,0.531205661
270,0.0708265612833,0.081881169883,0.795,0.7,0.554958599
280,0.0708641253881,0.0818546869109,0.795555555556,0.7,0.574354014
290,0.0685852600431,0.0823331108751,0.795,0.7,0.594016606
300,0.0684444223933,0.0824894520171,0.795,0.7,0.616240545
310,0.0682945822854,0.0804884685121,0.795,0.7,0.63739602
320,0.0690103254867,0.0775220380154,0.800555555556,0.73,0.656320813
330,0.0682138120057,0.0804958565245,0.795,0.7,0.673570482
340,0.0681852092299,0.0806354284534,0.795,0.7,0.690766534
350,0.0721827278733,0.0889280380438,0.770555555556,0.685,0.70883204
360,0.0681737991892,0.0806164246646,0.795,0.7,0.727390645
370,0.0655773039253,0.0737617108775,0.815,0.755,0.74400433
380,0.065449715055,0.0732228680153,0.817222222222,0.76,0.760143582
390,0.0653737717248,0.0726633921366,0.818333333333,0.77,0.777483753
400,0.0651196668302,0.0702999571569,0.824444444444,0.79,0.797272148
410,0.0651045635052,0.074355117444,0.817777777778,0.77,0.815652818
420,0.0650457330431,0.073727893441,0.818333333333,0.77,0.833741406
430,0.0650391157009,0.073690043405,0.818333333333,0.77,0.85211202
440,0.0643837857653,0.0734735848766,0.817777777778,0.77,0.871141858
450,0.0642980684871,0.0735759327187,0.817777777778,0.77,0.893554227
460,0.0639782535427,0.0748203044882,0.817777777778,0.76,0.914595174
470,0.0639570639311,0.0748328645971,0.817777777778,0.76,0.936751534
480,0.0638945800278,0.0748243079299,0.818888888889,0.76,0.955254647
490,0.0638956326445,0.0748199457759,0.818888888889,0.76,0.974647322
500,0.0638803188771,0.0747743063707,0.818888888889,0.76,0.993293188
510,0.0638697562876,0.0747559310414,0.818888888889,0.76,1.013177704
520,0.063895493637,0.07463357429,0.817222222222,0.76,1.03291967
530,0.0638301884188,0.0746814007466,0.818888888889,0.76,1.052343056
540,0.0638383101358,0.0733264179177,0.819444444444,0.755,1.073551858
550,0.0637667953483,0.074877029073,0.819444444444,0.755,1.094711802
560,0.0626902617046,0.0725557583169,0.828333333333,0.775,1.113897202
570,0.0626681082727,0.0725695007754,0.828333333333,0.775,1.13131628
580,0.0626681082727,0.0725695007754,0.828333333333,0.775,1.149448028
590,0.0625270853332,0.0724906112779,0.829444444444,0.775,1.1674067
600,0.0624664670147,0.0719817575732,0.827777777778,0.775,1.186277503
610,0.0624231130353,0.0687764029672,0.827777777778,0.775,1.20716012
620,0.0620189573359,0.0685831396278,0.828333333333,0.78,1.226317335
630,0.0665767020989,0.0753759759957,0.786111111111,0.685,1.246756749
640,0.0639220296632,0.0700394394379,0.810555555556,0.74,1.266313184
650,0.061973897575,0.0686315662475,0.828333333333,0.775,1.284141019
660,0.0619003016715,0.0686430485267,0.829444444444,0.775,1.302033088
670,0.0618984985631,0.0686274003807,0.829444444444,0.775,1.32006257
680,0.0586349557818,0.0629022797797,0.841666666667,0.865,1.338236463
690,0.058108769509,0.0631380909388,0.839444444444,0.86,1.357735671
700,0.0702402318426,0.0905694062539,0.817777777778,0.715,1.378414575
710,0.0580556929691,0.0632523390682,0.841111111111,0.86,1.397686113
720,0.0580648867011,0.0632968120668,0.841111111111,0.86,1.418422516
730,0.0578204753409,0.0692955305996,0.868333333333,0.86,1.43664752
740,0.0545635687884,0.0639784383637,0.863888888889,0.86,1.455469145
750,0.0545477826376,0.0639035051546,0.863888888889,0.86,1.473765282
760,0.0558208743884,0.0665265488883,0.863333333333,0.86,1.492028137
770,0.0547961931214,0.0641583322263,0.863333333333,0.86,1.510461236
780,0.0545299162126,0.0639017966703,0.863333333333,0.86,1.528333784
790,0.0546112613707,0.0639569925896,0.862777777778,0.86,1.547344619
800,0.0545158530151,0.0639325293826,0.863333333333,0.86,1.566389109
810,0.0672381506486,0.0885529854557,0.765,0.7,1.585993103
820,0.0544211346929,0.0638586859242,0.863888888889,0.86,1.604665448
830,0.0546301190405,0.0637962993619,0.862777777778,0.865,1.623186982
840,0.0544211346927,0.0638780746652,0.863888888889,0.86,1.641236668
850,0.05433626678,0.0637639359315,0.865,0.865,1.659101062
860,0.0543387420501,0.0637366933457,0.865,0.865,1.67670193
870,0.0542893551563,0.0637015015137,0.865,0.865,1.694521826
880,0.0542893551563,0.0637015015137,0.865,0.865,1.713119516
890,0.0542800514089,0.0637063150724,0.865,0.865,1.731362141
900,0.0542800514089,0.0637063150724,0.865,0.865,1.749496897
910,0.0542098087194,0.0637059628537,0.864444444444,0.865,1.769021815
920,0.0533603219591,0.0616166990782,0.869444444444,0.86,1.787546738
930,0.0542445633212,0.0655271719132,0.865,0.86,1.805892209
940,0.0531790171436,0.0615860977818,0.865,0.86,1.824622603
950,0.052401453833,0.0595050279313,0.87,0.86,1.843211477
960,0.0526479565908,0.0585375682316,0.869444444444,0.86,1.861628327
970,0.052084897286,0.0582620678174,0.87,0.86,1.880403014
980,0.0520848935553,0.0582620677867,0.87,0.86,1.900572011
990,0.051740402896,0.0575545240732,0.87,0.86,1.918710148
1000,0.0517259955543,0.0575254608874,0.87,0.86,1.936430604
1010,0.0517259818617,0.0575253589951,0.87,0.86,1.954180681
1020,0.0517232326171,0.0574585973186,0.869444444444,0.86,1.972071731
1030,0.0519105044648,0.0565782120529,0.862222222222,0.81,1.990191132
1040,0.0510046879905,0.0513888762316,0.868333333333,0.88,2.008900683
1050,0.0508596436809,0.0517000461607,0.868888888889,0.88,2.027526838
1060,0.0508250264864,0.0510158989246,0.868333333333,0.88,2.046214419
1070,0.0508299337452,0.0510146552304,0.868333333333,0.88,2.065432551
1080,0.050821234446,0.0510125029373,0.868333333333,0.88,2.08568081
1090,0.0508761432811,0.0506829638005,0.867777777778,0.88,2.104744985
1100,0.0507560417282,0.0512965039579,0.868333333333,0.88,2.123466709
1110,0.0507452237986,0.0513040558112,0.868333333333,0.88,2.142474897
1120,0.0507975769706,0.0511478856029,0.868333333333,0.88,2.160658582
1130,0.0634217910325,0.0844798969709,0.803888888889,0.695,2.178469238
1140,0.0506737654723,0.0501425409592,0.868333333333,0.88,2.196306332
1150,0.050621140751,0.0500051941673,0.868888888889,0.88,2.214014872
1160,0.0505598151888,0.0498391884118,0.868888888889,0.88,2.231975586
1170,0.0505619476274,0.0498069297699,0.868888888889,0.88,2.25054564
1180,0.0505541160966,0.0502369770952,0.868888888889,0.88,2.26846244
1190,0.0516428939243,0.0541361097364,0.868888888889,0.845,2.288584468
1200,0.0505293630429,0.0494480677047,0.867777777778,0.875,2.309712708
1210,0.0504870009134,0.0494573391285,0.868333333333,0.875,2.328568756
1220,0.0501974143685,0.0504574294171,0.869444444444,0.87,2.34800375
1230,0.0501958101557,0.0504432144109,0.869444444444,0.87,2.366063287
1240,0.0499846367029,0.0520220180838,0.87,0.855,2.38354318
1250,0.049832754617,0.0523602430508,0.870555555556,0.86,2.401544937
1260,0.0500733095885,0.0494420022421,0.868333333333,0.855,2.42186175
1270,0.0512592626299,0.0501241026194,0.857222222222,0.865,2.442502425
1280,0.0497836050685,0.0530694366296,0.87,0.86,2.462011054
1290,0.0497835841159,0.0530694248561,0.87,0.86,2.480891034
1300,0.0497591721749,0.0532643427799,0.869444444444,0.86,2.50053585
1310,0.0497753990467,0.0532441512873,0.869444444444,0.86,2.518247533
1320,0.0497582112617,0.053264452886,0.869444444444,0.86,2.53564369
1330,0.0497183942191,0.0533967745758,0.869444444444,0.86,2.553042247
1340,0.049709916426,0.0534427930206,0.869444444444,0.86,2.570864924
1350,0.0497027990956,0.0533800064911,0.87,0.86,2.59097563
1360,0.0497045483624,0.0533639579294,0.87,0.86,2.615003652
1370,0.049545082711,0.0527426549589,0.869444444444,0.855,2.637746272
1380,0.049545082711,0.0527426549589,0.869444444444,0.855,2.65740791
